sim,storage,transport_cost,coating_cost,decoating_time,max_uses,peelcoating_price,A,B,C,D,E,winner
1,5.707862928763638,126.88795827200607,14.737154864009975,6.062402052987181,120,2.1145354901635027,1410.075861838729,1688.184695515049,3500.0758618387295,1844.6857056291415,1142.32857722701,E
2,3.598656220732411,90.604989427455,6.041681122731087,6.3991601884182305,120,2.567678149863495,1153.9699768431951,1185.2997902626084,3243.969976843195,1559.9475763581363,869.9591382317795,E
3,7.111246456759881,53.65728670071124,7.257387141237288,9.415128608843343,120,2.8399551769011158,932.0639814366062,958.3253136062077,3022.063981436607,1311.6456496335854,593.2629994494858,E
4,7.4672950216156035,40.22399290082884,8.065013928778296,6.88937135001316,120,2.441908027488198,781.3907546514893,826.5132909580732,2871.3907546514893,1222.608492421359,492.55502039156187,E
5,7.1127579885621675,36.00963937096066,15.988796011953095,11.02920041371455,120,2.7003335673343196,822.1810338444461,1048.1113620435171,2912.181033844446,1225.2440757985219,460.90582160898964,E
6,7.524916834678553,48.323244657588,8.417155895931462,2.737518241831312,120,2.263864769580551,771.4392074627082,835.3606279883211,2861.4392074627085,1279.7133714005422,553.3061611234739,E
7,1.666358762189006,70.08196040133325,6.972487670154575,4.883711483990791,120,1.8478472606197474,958.2976974261701,1013.8505375560057,3048.29769742617,1422.106999702502,715.8099794274434,E
8,3.293557766920099,46.58259488397909,6.805818737481161,5.682451797830952,120,1.9964881280185547,798.5903692683949,828.9512500584816,2888.590369268395,1260.2762732989572,539.7554254306542,E
9,5.69397053542063,40.603655229752334,10.572392478853857,5.378270998272707,120,2.2128151981922404,754.3545771242392,865.4371732824322,2844.3545771242393,1234.81870810901,495.1946763952621,E
10,2.7328902344704358,36.82895100131499,7.841107966928412,6.03024507817181,120,2.2865274735412555,737.8979736999536,778.8296187922316,2827.8979736999536,1197.225341855415,466.53739308421444,E
11,5.189937920558149,51.88091217139423,13.466648910054849,3.533430096327556,120,5.665624528804942,892.2249073680816,998.3601766466251,2982.2249073680814,1323.8048049086897,579.715037135522,E
12,4.524317739376357,92.2775943276126,10.353890489549652,10.419397438425957,120,2.4439250651102418,1227.9767115196387,1367.024077451894,3317.9767115196382,1588.9197561630406,882.6121509421775,E
13,3.897101501216248,87.47724838867275,9.692606382399251,12.69885792606332,120,2.778762905211929,1236.4080910393186,1347.948270783319,3326.4080910393186,1553.120337471548,846.5360544972193,E
14,6.313869106010572,76.72049663495648,7.458346464636788,7.2678019728498695,120,2.3033469901040506,1057.7087906261295,1118.9691504911325,3147.708790626129,1470.8159403979848,766.1436312980343,E
15,6.721111137529935,115.00089788144307,11.710767679995968,6.23587716973175,120,2.138331277447212,1324.3883496966935,1520.377496768946,3414.3883496966937,1751.1020127585257,1053.2943643222522,E
16,5.778497119119171,97.98199340024618,7.6584330118118205,10.842049873861733,120,15.156562913893843,1582.7724260482332,1356.3038034484493,3672.7724260482332,1617.6594164449766,925.5421181329931,E
17,5.810465194583328,45.475332347877945,7.9670522745148915,6.125925330105005,120,2.439994907148222,808.3205895523123,855.0764656300207,2898.3205895523124,1257.9183410290339,531.7459064990749,E
18,6.104778462122797,23.53066976925833,6.032265771114567,11.176660147610866,120,2.3289917950384944,721.9177924381652,708.4443701909347,2811.917792438165,1099.380918781905,367.1954269954675,E
19,5.902340320496329,102.34396570133221,7.955423172555569,11.69605873768746,120,2.4224933759169547,1323.5482040913062,1413.096493486632,3413.548204091306,1648.8659299332517,958.2714232662997,E
20,6.016238239965835,164.42208197805604,10.105299805325615,6.902801509236912,120,1.8570300330301164,1698.8841876946797,1900.1592237133138,3788.88418769468,2084.2800705191794,1423.8706427541663,E
21,4.9434444244239115,78.73722796368206,7.36477087635056,4.814522397154343,120,17.360916884934714,1394.8028832140053,1093.948299980747,3484.8028832140053,1483.9747662022567,781.1085196211025,E
22,5.026449685484397,131.9122234048021,6.148201721259987,8.711646912783527,120,4.796550078079388,1554.4342650869753,1565.8080720769112,3644.4342650869753,1844.7066860762575,1179.9307126085334,E
23,4.097554538208183,51.43177848923295,13.081287531393372,11.755177486286666,120,5.0117853282534375,1004.5842085003626,1116.8260952426458,3094.584208500363,1318.9110037287724,576.2185208416934,E
24,2.415847467907229,64.95313975885082,8.636411686722125,9.888445288956095,120,3.699692348948993,1044.4393963146,1091.6355152402932,3134.4393963146003,1393.6835706476218,677.4316553165265,E
25,5.6588068929984265,115.13098239611739,9.537944560785249,11.48294371817002,120,2.337786359547026,1413.9794815235027,1553.1315151503081,3503.979481523503,1743.047774510846,1054.1455094036537,E
26,5.431130756009806,100.89066925202187,7.106418901619423,8.934559859495566,120,2.851343958057668,1278.701692770947,1336.4914933554455,3368.701692770947,1635.3643786940993,947.3164800256338,E
27,3.023626236513608,78.87610831264274,8.523247332004496,7.642648780761775,120,4.471211449454053,1131.5165988234976,1167.9225412391904,3221.516598823498,1489.0985184565925,781.925143544412,E
28,5.477480067811861,85.37047974497068,9.882058474278162,10.764239234045677,120,2.3720071779173035,1180.0764902974731,1304.3455812188618,3270.0764902974734,1539.7768593477094,830.9204902827269,E
29,8.744763614938986,119.2993040002036,10.138672236787006,2.0119873085572273,120,2.694590108639435,1302.631516531915,1450.7639656076094,3392.631516531915,1774.855276386541,1085.7695569876528,E
30,7.894998692922924,107.41812226170734,9.394243863321716,13.123279669521253,120,2.3082829302749315,1381.9323771610702,1512.5590312504737,3471.9323771610707,1689.988635998467,996.5611121221318,E
31,7.14895099748548,76.15280748306121,10.482838527426502,4.519883586448082,120,2.232356620436181,1007.8785200916145,1143.0046914716781,3097.8785200916145,1479.2132921254554,761.9838238179768,E
32,6.179671088478998,73.05360837108434,9.880253392093618,10.293379899538365,120,1.7792913033144235,1066.0233126609737,1195.2366090699875,3156.0233126609737,1455.2612102113203,738.6262429888136,E
33,3.608091179242322,87.96579017691539,11.136167345310314,5.9235707286374994,120,3.111893098128931,1139.6288155252273,1278.1857400902672,3229.6288155252273,1562.1833114300075,850.166249511933,E
34,3.986539777417172,98.15259279270683,6.726184792452477,7.0015978511557675,120,2.7737736934515684,1225.2077528367972,1273.6800638073491,3315.207752836797,1614.6693047220128,926.6116185754672,E
35,3.886395450879715,118.18080483102649,10.468765457508951,6.554046067245271,120,2.307081802714767,1357.0461735406775,1521.5621848790079,3447.046173540677,1767.3093314416028,1076.8114731995986,E
36,4.95007044254857,81.95293660820467,8.901823910974732,5.841316831907162,120,5.360756684338855,1147.3463406761684,1173.7966565715828,3237.346340676169,1512.232580010611,805.2271109415212,E
37,7.753125703544471,139.78749263317013,10.82670482612717,7.109230152888745,120,5.161182401096568,1596.9308242396978,1717.7439819153096,3686.9308242396983,1918.2235412888804,1239.31476416716,E
38,7.106857737479105,79.88264412303512,10.525822599751859,12.212126136933888,120,2.7789036015339876,1172.0403704416321,1297.8784094911375,3262.0403704416326,1505.0176608531697,789.9526658138742,E
39,4.750980690218362,95.40997353378262,13.647051761263794,9.624294504615108,120,2.23487629742722,1233.7573002650997,1459.2069915475145,3323.7573002650997,1623.6824032257232,906.1315570530047,E
40,4.614322272753502,98.53958926739764,10.391336951618253,8.525078365876418,120,2.2725953907570933,1240.5312036290136,1389.2856930402297,3330.531203629014,1632.1425551952643,929.5876603968205,E
41,5.36272950198176,87.20116609128934,12.956648381651659,3.2714115973814377,120,2.7471131941570857,1082.9104927660567,1273.3402118343934,3172.9104927660564,1564.633396455482,844.6371905481835,E
42,8.214672850947908,116.50958552132101,10.88438314762867,10.524990053732624,120,17.413669689036002,1771.1124617812143,1581.791773928429,3861.1124617812143,1758.5304241306858,1064.7845483846281,E
43,4.096232655611966,102.81606585707101,9.103761679041039,8.559571014901675,120,17.029474422448235,1627.2610435695467,1394.1559871205773,3717.261043569547,1656.2675558298085,961.6005211923621,E
44,7.658901707343254,55.42535026507218,11.36580046471024,9.188622055870876,120,2.2520796784899395,927.6555197095634,1067.9538312776547,3017.6555197095636,1340.3673751884592,606.5876545318706,E
45,5.246141580947445,65.08047652960055,8.407292760593101,9.855254305717631,120,2.4078553283469724,1014.1909529603308,1086.9878087314382,3104.190952960331,1394.3279970975118,678.7183561885213,E
46,6.285394168845313,89.43962967565932,13.376877127324585,5.006644225623274,120,2.8083047547471107,1129.0394139205096,1329.7648731191134,3219.0394139205096,1581.9272064297236,861.5337921966064,E
47,6.167602311239563,84.52593683835858,8.06256323595715,13.592034475030797,120,2.108573522445068,1212.745608322712,1299.035814075771,3302.7456083227125,1526.8597848922973,824.6672921835377,E
48,4.061089348964338,88.82276811906335,11.984476709370501,9.447251224488468,120,2.484626484912856,1187.4337250307808,1362.047206507062,3277.433725030781,1571.5779827327447,856.6466698010568,E
49,1.8199973076594023,65.04549276027116,9.501500165477253,2.1707239340090236,120,2.2700097136398045,887.2662927080248,989.6061831223269,2977.2662927080246,1397.6345439867223,678.054476636525,E
50,3.7929964350054792,95.21320090688552,10.549918618641097,7.276463095266982,120,1.8735496449623237,1185.9320995747362,1345.5748556231908,3275.932099574736,1609.7090470335054,904.5434985713686,E
51,5.103658618195208,143.46113529215637,13.760704801828705,6.411477653746246,120,15.89710247340341,1870.6707015071142,1806.9930088584388,3960.6707015071147,1954.5741666624842,1266.5565996854925,E
52,6.679866123401728,86.60693095547985,10.110984423850686,12.658467016887741,120,2.2788195742047694,1217.5619210285536,1350.4890756366653,3307.5619210285536,1549.484368091088,840.334778977435,E
53,1.9416052361366098,89.9672041564931,12.547789820343382,6.207563651955142,120,14.265887226155387,1426.6838748963196,1332.9249402742016,3516.6838748963196,1581.1859203753907,864.981563037308,E
54,3.6659253674012997,74.09489199586844,7.586664528714675,6.5594041758341834,120,15.516856302394714,1343.4963086688258,1088.742875097406,3433.496308668826,1452.6368818863716,746.1412905980056,E
55,6.48236050701146,69.30351263478668,9.176579266078306,11.663908937018991,120,3.7115383901492573,1106.2354607387017,1169.374076237089,3196.235460738702,1426.7379131137636,710.5359963828156,E
56,3.9598892049253402,63.8812553360937,5.82549381530732,10.379303195960238,120,2.4211653537801587,1013.7502841629926,1023.3651087417147,3103.7502841629926,1375.4446413636913,669.5734645369049,E
57,1.9420219987206724,98.49369929610197,11.45282573886406,7.2040386889667385,120,2.014078056908846,1212.53281781302,1392.9330366520217,3302.5328178130203,1635.4258190689725,928.9303254237398,E
